JAHR;BFS;GEMEINDE;EINWOHNER
2014;174;Illnau-Effretikon;16271
2014;6;Kappel a.A.;1014
2014;135;Kilchberg;7853
2014;33;Kleinandelfingen;2063
2014;62;Kloten;18329
2014;7;Knonau;2033
2014;175;Kyburg;405
2014;154;Küsnacht;13820
2014;136;Langnau a.A.;7413
2014;34;Laufen-Uhwiesen;1635
2014;176;Lindau;5386
2014;63;Lufingen;1914
2014;35;Marthalen;1986
2014;8;Maschwanden;664
2014;195;Maur;9711
2014;156;Meilen;13209
2014;9;Mettmenstetten;4463
2014;155;Männedorf;10522
2014;196;Mönchaltorf;3618
2014;88;Neerach;3005
2014;223;Neftenbach;5498
2014;89;Niederglatt;4713
2014;90;Niederhasli;9028
2014;91;Niederweningen;2871
2014;64;Nürensdorf;5383
2014;65;Oberembrach;1091
2014;245;Oberengstringen;6539
2014;92;Oberglatt;6632
2014;137;Oberrieden;5016
2014;36;Oberstammheim;1154
2014;93;Oberweningen;1823
2014;10;Obfelden;4925
2014;157;Oetwil a.S.;4581
2014;246;Oetwil a.d.L.;2310
2014;66;Opfikon;17085
2014;37;Ossingen;1389
2014;94;Otelfingen;2786
2014;11;Ottenbach;2542
2014;224;Pfungen;3655
2014;177;Pfäffikon;11260
2014;67;Rafz;4235
2014;95;Regensberg;489
2014;96;Regensdorf;17443
2014;38;Rheinau;1312
2014;138;Richterswil;13008
2014;225;Rickenbach;2554
2014;12;Rifferswil;999
2014;68;Rorbas;2701
2014;178;Russikon;4197
2014;97;Rümlang;7541
2014;139;Rüschlikon;5573
2014;118;Rüti;11979
2014;226;Schlatt;754
2014;98;Schleinikon;730
2014;247;Schlieren;17873
2014;197;Schwerzenbach;5003
2014;99;Schöfflisdorf;1384
2014;140;Schönenberg;1883
2014;119;Seegräben;1399
2014;227;Seuzach;7230
2014;100;Stadel;2159
2014;13;Stallikon;3290
2014;101;Steinmaur;3376
2014;179;Sternenberg;351
2014;158;Stäfa;13931
2014;39;Thalheim a.d.Th.;916
2014;141;Thalwil;17610
2014;41;Truttikon;463
2014;40;Trüllikon;1013
2014;228;Turbenthal;4441
2014;159;Uetikon a.S.;5948
2014;248;Uitikon;3960
2014;249;Unterengstringen;3568
2014;42;Unterstammheim;898
2014;250;Urdorf;9611
2014;198;Uster;33383
2014;43;Volken;339
2014;199;Volketswil;18384
2014;120;Wald;9446
2014;69;Wallisellen;15315
2014;44;Waltalingen;675
2014;200;Wangen-Brüttisellen;7632
2014;70;Wasterkingen;568
2014;102;Weiach;1153
2014;251;Weiningen;4407
2014;180;Weisslingen;3236
2014;14;Wettswil a.A.;4711
2014;121;Wetzikon;23887
2014;298;Wiesendangen;6114
2014;71;Wil;1351
2014;181;Wila;1920
2014;182;Wildberg;991
2014;72;Winkel;4163
2014;230;Winterthur;106552
2014;142;Wädenswil;21189
2014;231;Zell;5689
2014;161;Zollikon;12517
2014;160;Zumikon;5132
2014;261;Zürich;390474
2015;21;Adlikon;662
2015;131;Adliswil;18551
2015;241;Aesch;1198
2015;1;Aeugst a.A.;1986
2015;2;Affoltern a.A.;11695
2015;211;Altikon;655
2015;30;Andelfingen;2168
2015;51;Bachenbülach;4026
2015;81;Bachs;585
2015;52;Bassersdorf;11561
2015;297;Bauma;4837
2015;22;Benken;859
2015;23;Berg a.I.;567
2015;242;Birmensdorf;6235
2015;3;Bonstetten;5322
2015;82;Boppelsen;1317
2015;213;Brütten;2006
2015;112;Bubikon;7027
2015;24;Buch a.I.;961
2015;83;Buchs;6269
2015;111;Bäretswil;4958
2015;53;Bülach;19342
2015;25;Dachsen;1986
2015;86;Dielsdorf;5917
2015;243;Dietikon;26633
2015;54;Dietlikon;7605
2015;216;Dinhard;1490
2015;26;Dorf;627
2015;214;Dägerlen;1014
2015;84;Dällikon;3950
2015;85;Dänikon;1888
2015;215;Dättlikon;745
2015;191;Dübendorf;26759
2015;113;Dürnten;7392
2015;192;Egg;8378
2015;55;Eglisau;5021
2015;217;Elgg;4209
2015;218;Ellikon a.d.Th.;885
2015;219;Elsau;3477
2015;56;Embrach;9143
2015;151;Erlenbach;5472
2015;172;Fehraltorf;6292
2015;27;Feuerthalen;3564
2015;114;Fischenthal;2425
2015;28;Flaach;1357
2015;29;Flurlingen;1437
2015;57;Freienstein-Teufen;2303
2015;193;Fällanden;8340
2015;244;Geroldswil;4858
2015;58;Glattfelden;4945
2015;115;Gossau;9744
2015;194;Greifensee;5360
2015;116;Grüningen;3358
2015;220;Hagenbuch;1107
2015;4;Hausen a.A.;3476
2015;5;Hedingen;3655
2015;31;Henggart;2250
2015;152;Herrliberg;6289
2015;221;Hettlingen;3113
2015;117;Hinwil;10830
2015;132;Hirzel;2145
2015;173;Hittnau;3608
2015;59;Hochfelden;1989
2015;222;Hofstetten;481
2015;153;Hombrechtikon;8463
2015;133;Horgen;20164
2015;32;Humlikon;504
2015;60;Höri;2639
2015;61;Hüntwangen;1013
2015;134;Hütten;898
2015;87;Hüttikon;879
2015;174;Illnau-Effretikon;16298
2015;6;Kappel a.A.;1029
2015;135;Kilchberg;8077
2015;33;Kleinandelfingen;2068
2015;62;Kloten;18412
2015;7;Knonau;2094
2015;175;Kyburg;411
2015;154;Küsnacht;13796
2015;136;Langnau a.A.;7449
2015;34;Laufen-Uhwiesen;1639
2015;176;Lindau;5379
2015;63;Lufingen;2066
2015;35;Marthalen;1950
2015;8;Maschwanden;638
2015;195;Maur;9873
2015;156;Meilen;13515
2015;9;Mettmenstetten;4659
2015;155;Männedorf;10588
2015;196;Mönchaltorf;3670
2015;88;Neerach;3044
2015;223;Neftenbach;5500
2015;89;Niederglatt;4751
2015;90;Niederhasli;9085
2015;91;Niederweningen;2856
2015;64;Nürensdorf;5464
2015;65;Oberembrach;1066
2015;245;Oberengstringen;6549
2015;92;Oberglatt;6789
